interaction_id,customer_id,interaction_date,interaction_type,branch_code,channel
INT577050,C01000009,2028-04-05,Branch_Visit,B015,App
INT716211,C01000009,2028-08-24,SMS_Received,B015,USSD
INT812416,C01000009,2029-10-11,Branch_Visit,B015,App
INT667704,C01000009,2029-11-08,USSD_Session,B015,Branch
INT729947,C01000009,2026-10-07,App_Login,B015,USSD
INT746348,C01000009,2029-04-05,SMS_Received,B015,USSD
INT800702,C01000009,2028-03-18,App_Login,B015,Branch
INT565610,C01000009,2025-12-08,Customer_Care_Call,B015,ATM
INT985715,C01000009,2027-09-04,App_Login,B015,ATM
INT836388,C01000009,2028-04-10,SMS_Received,B015,App
INT734601,C01000009,2029-04-14,SMS_Received,B015,USSD
INT536656,C01000009,2028-02-01,SMS_Received,B015,Web
INT639624,C01000009,2028-12-05,USSD_Session,B015,ATM
INT934581,C01000010,2026-07-19,SMS_Received,B002,ATM
INT985236,C01000010,2028-05-16,Customer_Care_Call,B002,ATM
INT524446,C01000010,2028-01-21,Customer_Care_Call,B002,USSD
INT762521,C01000010,2025-10-07,Branch_Visit,B002,Agent
INT878936,C01000010,2025-11-09,Customer_Care_Call,B002,Web
INT542819,C01000010,2027-11-26,App_Login,B002,Agent
INT872520,C01000010,2028-01-16,SMS_Received,B002,Agent
INT797504,C01000010,2027-05-04,USSD_Session,B002,Branch
INT972824,C01000010,2025-10-17,Branch_Visit,B002,Web
INT913209,C01000011,2025-05-18,USSD_Session,B003,Agent
INT819539,C01000011,2025-10-19,Branch_Visit,B003,Web
INT518148,C01000011,2022-07-19,App_Login,B003,USSD
INT840862,C01000011,2026-07-08,Branch_Visit,B003,Branch
INT534643,C01000011,2024-11-24,App_Login,B003,Web
INT819828,C01000011,2023-05-30,Customer_Care_Call,B003,USSD
INT645775,C01000011,2025-02-19,USSD_Session,B003,Agent
INT974405,C01000011,2025-03-18,Branch_Visit,B003,USSD
INT514593,C01000011,2023-10-24,Customer_Care_Call,B003,USSD
INT674803,C01000011,2024-05-04,App_Login,B003,Agent
INT661945,C01000011,2025-07-17,SMS_Received,B003,ATM
INT722044,C01000011,2022-11-29,App_Login,B003,Branch
INT956929,C01000012,2028-11-08,Customer_Care_Call,B015,Web
INT695343,C01000012,2028-12-15,Branch_Visit,B015,ATM
INT993585,C01000012,2028-02-15,USSD_Session,B015,USSD
INT859720,C01000012,2028-09-09,USSD_Session,B015,Agent
INT599692,C01000012,2026-06-25,Customer_Care_Call,B015,Agent
INT664116,C01000012,2025-12-30,USSD_Session,B015,Web
INT663457,C01000012,2026-03-27,App_Login,B015,ATM
INT887360,C01000012,2028-05-30,USSD_Session,B015,USSD
INT596932,C01000012,2028-05-31,Branch_Visit,B015,ATM
INT819700,C01000012,2027-08-14,Branch_Visit,B015,USSD
INT666620,C01000012,2026-08-10,Branch_Visit,B015,Agent
INT666765,C01000012,2029-02-27,SMS_Received,B015,Agent
INT890966,C01000012,2026-02-11,Customer_Care_Call,B015,ATM
INT611326,C01000012,2028-01-29,Branch_Visit,B015,Branch
INT738597,C01000012,2029-01-11,USSD_Session,B015,USSD
INT684940,C01000012,2025-09-24,App_Login,B015,Agent
INT862630,C01000013,2025-06-03,App_Login,B003,Agent
INT905297,C01000013,2028-06-19,USSD_Session,B003,Web
INT507226,C01000013,2028-01-29,USSD_Session,B003,App
INT800668,C01000013,2025-10-19,Customer_Care_Call,B003,Web
INT644925,C01000013,2026-02-13,Branch_Visit,B003,ATM
INT646980,C01000013,2028-07-06,Branch_Visit,B003,Branch
INT868901,C01000013,2028-01-19,App_Login,B003,USSD
INT928287,C01000013,2025-08-31,SMS_Received,B003,App
INT578972,C01000013,2026-06-21,USSD_Session,B003,App
INT500259,C01000013,2027-04-13,Customer_Care_Call,B003,Branch
INT993959,C01000013,2026-10-15,App_Login,B003,Branch
INT794969,C01000013,2027-10-20,Customer_Care_Call,B003,Agent
INT896895,C01000014,2023-11-13,App_Login,B003,USSD
INT835984,C01000014,2022-09-12,USSD_Session,B003,Web
INT630495,C01000014,2023-06-04,App_Login,B003,Branch
INT947558,C01000014,2025-08-06,Customer_Care_Call,B003,USSD
INT780120,C01000014,2026-05-26,Branch_Visit,B003,Web
INT901936,C01000014,2022-08-12,Customer_Care_Call,B003,Web
INT701972,C01000014,2025-10-14,SMS_Received,B003,USSD
INT591688,C01000014,2023-04-04,Branch_Visit,B003,Agent
INT627035,C01000014,2024-04-05,App_Login,B003,Branch
INT837031,C01000014,2022-06-30,USSD_Session,B003,USSD
INT636473,C01000014,2025-03-24,Branch_Visit,B003,ATM
INT951946,C01000014,2023-07-01,SMS_Received,B003,Branch
INT575210,C01000014,2024-12-25,App_Login,B003,USSD
INT917686,C01000014,2026-05-21,SMS_Received,B003,Branch
INT828630,C01000014,2022-12-30,App_Login,B003,Web
INT802336,C01000014,2025-10-21,App_Login,B003,Agent
INT549677,C01000015,2026-05-04,Customer_Care_Call,B020,USSD
INT602617,C01000015,2025-10-16,Branch_Visit,B020,Agent
INT508967,C01000015,2026-03-31,App_Login,B020,Agent
INT846831,C01000015,2026-03-09,Branch_Visit,B020,Branch
INT654112,C01000015,2023-03-25,USSD_Session,B020,Web
INT878327,C01000015,2024-11-25,Branch_Visit,B020,App
INT610084,C01000015,2024-11-06,Customer_Care_Call,B020,Agent
INT529764,C01000015,2023-06-17,App_Login,B020,Web
INT917643,C01000015,2023-03-21,SMS_Received,B020,Agent
INT643866,C01000015,2024-07-20,Customer_Care_Call,B020,USSD
INT807837,C01000016,2025-07-24,Customer_Care_Call,B005,ATM
INT986590,C01000016,2023-11-27,SMS_Received,B005,USSD
INT766201,C01000016,2026-05-03,Branch_Visit,B005,Web
INT762014,C01000016,2022-10-23,Customer_Care_Call,B005,Agent
INT584699,C01000016,2025-04-06,App_Login,B005,USSD
INT953788,C01000016,2024-06-18,Branch_Visit,B005,Branch
INT819111,C01000016,2024-03-10,Branch_Visit,B005,ATM
INT937588,C01000016,2022-10-10,App_Login,B005,USSD
INT584278,C01000016,2025-10-29,SMS_Received,B005,Branch
INT722704,C01000016,2025-10-11,USSD_Session,B005,Branch
INT803124,C01000016,2026-08-01,Branch_Visit,B005,ATM
INT674278,C01000016,2025-03-18,SMS_Received,B005,Branch
INT770398,C01000016,2026-03-19,Customer_Care_Call,B005,App
INT638151,C01000017,2024-08-04,SMS_Received,B004,USSD
INT857061,C01000017,2026-01-19,USSD_Session,B004,Web
INT846965,C01000017,2025-05-05,SMS_Received,B004,Branch
INT661524,C01000017,2027-04-06,Branch_Visit,B004,USSD
INT748555,C01000017,2027-02-12,Customer_Care_Call,B004,Web
INT608219,C01000017,2023-08-17,USSD_Session,B004,ATM
INT943978,C01000017,2027-02-12,USSD_Session,B004,USSD
INT802924,C01000017,2026-01-19,App_Login,B004,ATM
INT846464,C01000017,2025-09-16,SMS_Received,B004,ATM
INT555125,C01000017,2024-04-25,App_Login,B004,App
INT805460,C01000017,2025-07-10,App_Login,B004,Branch
INT744060,C01000017,2024-08-30,SMS_Received,B004,Web
INT889486,C01000017,2024-05-16,USSD_Session,B004,App
INT999895,C01000017,2025-08-05,Customer_Care_Call,B004,Agent
INT947262,C01000017,2025-01-14,Branch_Visit,B004,Web
INT926299,C01000017,2023-05-23,Branch_Visit,B004,ATM
INT934933,C01000018,2026-06-27,Customer_Care_Call,B020,Web
INT670553,C01000018,2026-09-06,App_Login,B020,Agent
INT869717,C01000018,2027-01-18,Customer_Care_Call,B020,Branch
INT813765,C01000018,2026-07-28,Customer_Care_Call,B020,Branch
INT821428,C01000018,2026-05-23,SMS_Received,B020,Agent
INT642800,C01000018,2026-08-31,USSD_Session,B020,Branch
INT614235,C01000018,2023-07-31,App_Login,B020,USSD
INT712654,C01000018,2023-09-09,Customer_Care_Call,B020,Agent
INT527659,C01000018,2025-04-29,Branch_Visit,B020,Agent
INT826615,C01000018,2024-05-02,App_Login,B020,USSD
INT606867,C01000018,2027-03-11,Customer_Care_Call,B020,Web
INT933506,C01000018,2023-05-13,USSD_Session,B020,Agent
INT545524,C01000018,2025-12-20,USSD_Session,B020,Branch
INT661451,C01000019,2028-01-05,USSD_Session,B020,ATM
INT742614,C01000019,2027-12-26,App_Login,B020,USSD
INT898591,C01000019,2026-01-09,Branch_Visit,B020,USSD
INT927497,C01000019,2026-09-05,Customer_Care_Call,B020,Branch
INT943221,C01000019,2028-02-22,Branch_Visit,B020,Agent
INT927799,C01000019,2025-07-30,USSD_Session,B020,ATM
INT557058,C01000019,2028-11-01,Customer_Care_Call,B020,App
INT534660,C01000019,2026-08-18,App_Login,B020,ATM
INT699846,C01000019,2028-08-02,Branch_Visit,B020,Web
INT759534,C01000019,2026-08-25,App_Login,B020,ATM
INT591822,C01000019,2028-12-06,USSD_Session,B020,Web
INT767898,C01000019,2026-01-16,USSD_Session,B020,Agent
INT615770,C01000020,2027-11-23,App_Login,B003,Web
INT629167,C01000020,2025-12-19,App_Login,B003,App
INT882483,C01000020,2025-11-15,Customer_Care_Call,B003,Agent
INT598729,C01000020,2028-07-19,SMS_Received,B003,Branch
INT589949,C01000020,2027-02-28,Branch_Visit,B003,Agent
INT542263,C01000020,2027-09-13,SMS_Received,B003,Branch
INT635829,C01000020,2028-01-01,Customer_Care_Call,B003,USSD
INT920897,C01000020,2029-01-03,Branch_Visit,B003,Agent
INT590482,C01000020,2028-05-21,App_Login,B003,App
INT871389,C01000020,2029-07-24,Branch_Visit,B003,Agent
INT577727,C01000020,2027-07-09,Customer_Care_Call,B003,USSD
INT577208,C01000020,2026-02-05,Customer_Care_Call,B003,Agent
INT627491,C01000020,2027-10-12,SMS_Received,B003,USSD
INT969599,C01000020,2025-10-19,App_Login,B003,Web
INT608514,C01000020,2028-06-26,App_Login,B003,App
INT865093,C01000020,2028-05-21,USSD_Session,B003,App
INT941997,C01000020,2028-11-07,SMS_Received,B003,Web
INT706695,C01000020,2028-03-09,App_Login,B003,ATM
INT604249,C01000020,2026-02-01,Branch_Visit,B003,Web
INT940036,C01000020,2027-04-28,App_Login,B003,App
INT718142,C01000021,2024-08-24,Branch_Visit,B010,ATM
INT999945,C01000021,2024-05-01,App_Login,B010,Branch
INT556299,C01000021,2025-05-07,App_Login,B010,Branch
INT680409,C01000021,2024-11-11,App_Login,B010,USSD
INT797895,C01000021,2025-02-15,App_Login,B010,Web
INT832394,C01000021,2023-01-26,Branch_Visit,B010,Branch
INT760730,C01000022,2025-11-19,App_Login,B005,USSD
INT748704,C01000022,2026-07-21,USSD_Session,B005,App
INT986377,C01000022,2026-07-08,Branch_Visit,B005,App
INT903660,C01000022,2027-11-01,Branch_Visit,B005,USSD
INT878008,C01000022,2028-01-04,USSD_Session,B005,ATM
INT909996,C01000022,2027-09-05,App_Login,B005,App
INT742006,C01000022,2027-09-12,Customer_Care_Call,B005,USSD
INT565959,C01000022,2027-06-26,SMS_Received,B005,ATM
INT858126,C01000022,2028-05-21,USSD_Session,B005,Branch
INT579816,C01000022,2027-09-17,SMS_Received,B005,USSD
INT905101,C01000022,2027-10-16,Customer_Care_Call,B005,Web
INT925339,C01000022,2028-07-29,USSD_Session,B005,App
INT705980,C01000022,2025-05-17,USSD_Session,B005,Web
INT583633,C01000023,2026-05-04,App_Login,B002,ATM
INT907787,C01000023,2024-11-17,Branch_Visit,B002,Branch
INT815517,C01000023,2026-11-01,Branch_Visit,B002,Agent
INT987759,C01000023,2024-01-28,App_Login,B002,Branch
INT552194,C01000023,2023-08-05,SMS_Received,B002,USSD
INT813405,C01000023,2023-08-07,Customer_Care_Call,B002,USSD
INT739688,C01000023,2024-08-28,Customer_Care_Call,B002,Branch
INT772711,C01000023,2027-01-16,App_Login,B002,USSD
INT577975,C01000023,2025-10-27,Branch_Visit,B002,Agent
INT960067,C01000023,2025-12-04,Branch_Visit,B002,Branch
INT818645,C01000023,2026-08-14,SMS_Received,B002,USSD
INT960688,C01000023,2023-06-06,Branch_Visit,B002,USSD
INT725352,C01000023,2026-04-20,Branch_Visit,B002,Agent
INT964716,C01000023,2027-01-19,SMS_Received,B002,Agent
INT749069,C01000023,2026-07-17,Branch_Visit,B002,ATM
INT846079,C01000023,2024-07-03,SMS_Received,B002,USSD
INT945531,C01000023,2023-05-28,Customer_Care_Call,B002,USSD
INT767030,C01000023,2023-04-23,Branch_Visit,B002,ATM
INT701688,C01000024,2029-05-01,USSD_Session,B020,App
INT685530,C01000024,2028-02-16,SMS_Received,B020,Branch
INT901249,C01000024,2028-06-17,App_Login,B020,ATM
INT849499,C01000024,2027-03-08,SMS_Received,B020,Branch
INT572199,C01000024,2029-06-20,App_Login,B020,USSD
INT911228,C01000024,2026-03-03,Branch_Visit,B020,Web
INT514449,C01000024,2029-11-10,App_Login,B020,USSD
INT517362,C01000024,2027-06-07,App_Login,B020,Agent
INT628871,C01000024,2027-03-05,Branch_Visit,B020,Agent
INT855911,C01000024,2028-04-01,SMS_Received,B020,Agent
INT969250,C01000025,2026-12-21,Customer_Care_Call,B004,Branch
INT571274,C01000025,2025-11-10,Branch_Visit,B004,ATM
INT569729,C01000025,2026-12-22,Customer_Care_Call,B004,USSD
INT837902,C01000025,2027-01-21,USSD_Session,B004,App
INT636123,C01000025,2027-01-04,Branch_Visit,B004,Branch
INT908846,C01000025,2027-04-12,Customer_Care_Call,B004,App
INT710929,C01000025,2026-09-02,App_Login,B004,USSD
INT988347,C01000025,2027-10-27,App_Login,B004,App
INT799190,C01000025,2028-12-22,USSD_Session,B004,App
INT628288,C01000025,2025-10-21,Branch_Visit,B004,ATM
INT667243,C01000025,2028-06-07,USSD_Session,B004,App
INT970601,C01000025,2028-12-02,App_Login,B004,USSD
INT941433,C01000025,2025-09-15,SMS_Received,B004,App
INT630773,C01000025,2027-10-14,SMS_Received,B004,ATM
INT618476,C01000025,2029-07-17,App_Login,B004,Agent
INT927528,C01000025,2029-08-30,SMS_Received,B004,Branch
INT600421,C01000025,2028-12-17,USSD_Session,B004,Branch
INT662215,C01000025,2027-04-16,Branch_Visit,B004,App
INT831924,C01000026,2028-09-20,Customer_Care_Call,B010,App
INT975453,C01000026,2027-01-23,SMS_Received,B010,Branch
INT525954,C01000026,2029-12-09,USSD_Session,B010,Web
INT713357,C01000026,2029-05-01,SMS_Received,B010,USSD
INT622362,C01000026,2026-03-28,SMS_Received,B010,App
INT697519,C01000026,2030-01-14,Customer_Care_Call,B010,App
INT570266,C01000026,2029-05-31,Branch_Visit,B010,Branch
INT554493,C01000026,2029-10-21,USSD_Session,B010,Branch
INT958479,C01000026,2026-12-09,USSD_Session,B010,Branch
INT766264,C01000026,2029-04-30,USSD_Session,B010,Branch
INT878417,C01000026,2027-06-15,Customer_Care_Call,B010,Branch
INT714861,C01000026,2029-06-04,Customer_Care_Call,B010,USSD
INT849919,C01000026,2027-03-26,SMS_Received,B010,USSD
INT875428,C01000026,2029-11-02,Branch_Visit,B010,USSD
INT870458,C01000026,2028-07-30,USSD_Session,B010,ATM
INT871333,C01000026,2027-11-30,SMS_Received,B010,App
INT824858,C01000026,2029-09-14,SMS_Received,B010,ATM
INT682525,C01000026,2027-10-03,Branch_Visit,B010,App
INT623382,C01000026,2029-04-11,Customer_Care_Call,B010,Branch
INT894625,C01000026,2029-10-05,App_Login,B010,App
INT514009,C01000026,2028-02-04,SMS_Received,B010,Agent
INT567325,C01000027,2027-08-27,Branch_Visit,B010,Agent
INT510273,C01000027,2026-06-02,App_Login,B010,USSD
INT655283,C01000027,2027-05-12,SMS_Received,B010,Web
INT898902,C01000027,2028-05-31,Customer_Care_Call,B010,Agent
INT733775,C01000027,2025-12-06,SMS_Received,B010,USSD
INT931021,C01000027,2027-10-24,App_Login,B010,Branch
INT710294,C01000027,2025-08-16,Branch_Visit,B010,USSD
INT594120,C01000027,2027-07-03,USSD_Session,B010,Web
INT836576,C01000027,2028-03-11,Customer_Care_Call,B010,USSD
INT978568,C01000027,2026-05-14,SMS_Received,B010,Branch
INT836241,C01000027,2025-12-16,Branch_Visit,B010,Branch
INT971054,C01000027,2026-08-18,SMS_Received,B010,Branch
INT702538,C01000027,2025-05-14,Customer_Care_Call,B010,Agent
INT806393,C01000027,2027-01-26,App_Login,B010,ATM
INT526191,C01000027,2028-01-07,SMS_Received,B010,Agent
INT638366,C01000027,2029-02-08,SMS_Received,B010,Agent
INT962750,C01000028,2026-04-22,USSD_Session,B002,App
INT658618,C01000028,2025-06-14,App_Login,B002,USSD
INT898167,C01000028,2025-02-18,SMS_Received,B002,App
INT998397,C01000028,2025-02-13,SMS_Received,B002,Agent
INT625957,C01000028,2028-07-27,USSD_Session,B002,App
INT653240,C01000028,2026-05-28,App_Login,B002,ATM
INT766019,C01000028,2028-02-07,Customer_Care_Call,B002,ATM
INT848420,C01000028,2024-07-24,Customer_Care_Call,B002,USSD
INT754855,C01000028,2025-08-03,SMS_Received,B002,USSD
INT502887,C01000028,2025-06-12,App_Login,B002,ATM
INT714907,C01000028,2026-07-28,Branch_Visit,B002,App
INT571581,C01000028,2026-03-02,App_Login,B002,Web
INT821998,C01000028,2027-10-18,Branch_Visit,B002,Branch
INT680774,C01000028,2025-03-11,App_Login,B002,USSD
INT590117,C01000029,2024-01-17,Customer_Care_Call,B020,ATM
INT677452,C01000029,2023-05-22,App_Login,B020,ATM
INT746110,C01000029,2025-04-20,USSD_Session,B020,Branch
INT817603,C01000029,2026-07-17,SMS_Received,B020,Branch
INT873387,C01000029,2025-08-30,Branch_Visit,B020,Branch
INT776794,C01000029,2026-12-03,SMS_Received,B020,Agent
INT554724,C01000029,2027-06-21,Customer_Care_Call,B020,Agent
INT719561,C01000029,2023-07-14,Customer_Care_Call,B020,ATM
INT945687,C01000029,2026-12-09,USSD_Session,B020,Agent
INT956536,C01000029,2026-07-19,Branch_Visit,B020,App
INT560082,C01000029,2025-10-03,SMS_Received,B020,Branch
INT550665,C01000029,2025-10-24,USSD_Session,B020,Branch
INT739034,C01000029,2024-02-23,USSD_Session,B020,ATM
INT910665,C01000030,2027-11-01,Customer_Care_Call,B004,Agent
INT781205,C01000030,2028-05-28,Branch_Visit,B004,USSD
INT857909,C01000030,2025-07-26,USSD_Session,B004,Agent
INT959445,C01000030,2027-05-04,App_Login,B004,USSD
INT793075,C01000030,2028-06-16,Branch_Visit,B004,USSD
INT542920,C01000030,2028-08-03,Customer_Care_Call,B004,Agent
INT634862,C01000031,2028-11-14,SMS_Received,B005,Agent
INT981130,C01000031,2029-07-01,App_Login,B005,App
INT832687,C01000031,2026-12-14,App_Login,B005,ATM
INT771590,C01000031,2026-12-17,App_Login,B005,USSD
INT862077,C01000031,2027-12-14,USSD_Session,B005,USSD
INT733816,C01000031,2027-07-22,Customer_Care_Call,B005,ATM
INT724676,C01000031,2027-12-11,Branch_Visit,B005,Web
INT913635,C01000031,2026-08-10,Customer_Care_Call,B005,Branch
INT942307,C01000031,2026-05-08,App_Login,B005,Web
INT546615,C01000031,2025-11-08,SMS_Received,B005,Agent
INT998396,C01000031,2027-08-03,App_Login,B005,App
INT756917,C01000031,2028-12-13,App_Login,B005,Branch
INT771672,C01000031,2025-08-12,Branch_Visit,B005,Agent
INT763808,C01000031,2027-06-23,Customer_Care_Call,B005,ATM
INT554079,C01000031,2025-11-20,SMS_Received,B005,App
INT957176,C01000031,2026-02-11,Customer_Care_Call,B005,USSD
INT996436,C01000031,2029-01-29,USSD_Session,B005,Branch
INT725872,C01000031,2025-12-13,SMS_Received,B005,ATM
INT887140,C01000031,2026-08-21,Branch_Visit,B005,App
INT874039,C01000032,2026-07-09,USSD_Session,B001,Agent
INT736678,C01000032,2024-09-03,SMS_Received,B001,Branch
INT668145,C01000032,2026-06-18,App_Login,B001,USSD
INT515917,C01000032,2025-07-26,Customer_Care_Call,B001,Web
INT725341,C01000032,2023-12-31,Branch_Visit,B001,Web
INT977065,C01000032,2027-08-11,USSD_Session,B001,USSD
INT657771,C01000032,2024-03-02,SMS_Received,B001,Branch
INT818105,C01000032,2026-07-15,USSD_Session,B001,ATM
INT898830,C01000032,2023-10-12,Customer_Care_Call,B001,App
INT708734,C01000032,2023-08-13,Customer_Care_Call,B001,Agent
INT655376,C01000032,2026-12-17,SMS_Received,B001,App
INT806766,C01000033,2024-11-28,App_Login,B004,USSD
INT630537,C01000033,2025-02-05,SMS_Received,B004,Agent
INT707952,C01000033,2025-02-20,Customer_Care_Call,B004,ATM
INT515175,C01000033,2025-01-24,App_Login,B004,USSD
INT871720,C01000033,2025-02-10,SMS_Received,B004,Branch
INT954161,C01000033,2022-11-18,SMS_Received,B004,Agent
INT601817,C01000033,2024-01-13,USSD_Session,B004,ATM
INT565278,C01000033,2024-06-15,USSD_Session,B004,Web
INT897831,C01000033,2023-08-28,USSD_Session,B004,ATM
INT880180,C01000033,2025-09-07,App_Login,B004,ATM
INT837607,C01000033,2024-05-07,Customer_Care_Call,B004,Web
INT759588,C01000033,2025-11-13,Customer_Care_Call,B004,USSD
INT759343,C01000034,2025-08-17,Customer_Care_Call,B002,App
INT630417,C01000034,2025-01-25,USSD_Session,B002,USSD
INT935119,C01000034,2023-04-06,App_Login,B002,Web
INT951916,C01000034,2026-01-04,SMS_Received,B002,ATM
INT786094,C01000034,2025-01-26,SMS_Received,B002,App
INT995964,C01000034,2024-08-20,App_Login,B002,USSD
INT564497,C01000034,2025-01-02,SMS_Received,B002,App
INT985191,C01000034,2024-10-09,App_Login,B002,Web
INT577037,C01000034,2025-03-26,Branch_Visit,B002,Agent
