customer_id,activation_date,branch_code,country,customer_type,onboarding_channel,date_of_birth,gender,status
C01000112,2025-03-07,B015,ZM,Retail,USSD,2004-04-01,M,Active
C01000113,2026-01-10,B020,ZM,Retail,App,1983-08-07,F,Active
C01000114,2023-10-07,B010,ZM,Retail,App,1967-10-17,M,Active
C01000115,2023-03-12,B015,ZM,Retail,Web,1972-04-10,M,Dormant
C01000116,2025-09-04,B004,ZM,Premium,ATM,1984-12-24,M,Closed
C01000117,2024-10-19,B001,ZM,Retail,Agent,1970-06-13,F,Active
C01000118,2024-03-21,B010,ZM,SME,App,1991-09-25,M,Active
C01000119,2025-08-09,B020,ZM,Retail,USSD,1967-02-03,F,Active
C01000120,2024-07-28,B005,ZM,Premium,USSD,1979-12-15,M,Active
C01000121,2022-10-20,B020,ZM,Retail,Agent,1966-09-02,F,Active
C01000122,2023-06-27,B005,ZM,Premium,Branch,1989-05-06,F,Active
C01000123,2022-10-13,B002,ZM,Retail,ATM,1974-01-22,M,Dormant
C01000124,2023-05-21,B015,ZM,Retail,Branch,2005-06-28,M,Active
C01000125,2025-02-23,B005,ZM,SME,Web,1990-01-31,F,Active
C01000126,2025-01-08,B020,ZM,Retail,App,1984-10-08,F,Active
C01000127,2023-06-23,B002,ZM,Retail,Agent,2000-09-06,M,Active
C01000128,2025-04-12,B001,ZM,Retail,Agent,2006-01-03,F,Active
C01000129,2024-05-27,B004,ZM,Premium,Agent,1966-08-24,F,Active
C01000130,2025-04-10,B004,ZM,Retail,Branch,1988-03-29,F,Active
C01000131,2024-03-28,B004,ZM,Retail,Branch,1963-06-10,M,Active
C01000132,2024-01-12,B005,ZM,Retail,Web,1998-11-17,F,Active
C01000133,2023-03-26,B001,ZM,Retail,USSD,1969-01-04,M,Active
C01000134,2022-10-11,B005,ZM,SME,USSD,2006-10-07,M,Active
C01000135,2024-11-09,B015,ZM,Retail,Web,1988-06-26,M,Dormant
C01000136,2024-10-07,B005,ZM,Retail,Agent,1977-01-29,F,Active
C01000137,2022-07-06,B001,ZM,SME,USSD,2010-01-28,F,Active
C01000138,2022-04-07,B001,ZM,Retail,Web,1963-03-13,F,Active
C01000139,2022-08-13,B015,ZM,Retail,USSD,1960-09-18,M,Active
C01000140,2022-11-10,B001,ZM,Retail,Web,1982-01-23,M,Active
C01000141,2025-07-09,B020,ZM,Retail,USSD,1972-04-12,M,Active
C01000142,2022-11-24,B001,ZM,Retail,Agent,2012-08-08,M,Active
C01000143,2025-10-25,B004,ZM,Retail,Branch,1993-10-01,M,Active
C01000144,2024-05-14,B020,ZM,Retail,Branch,1979-10-03,M,Dormant
C01000145,2025-05-06,B020,ZM,Retail,Agent,1977-07-21,M,Active
C01000146,2022-05-11,B015,ZM,Retail,USSD,1983-10-19,M,Closed
C01000147,2024-02-28,B003,ZM,Retail,Agent,2002-03-05,F,Active
C01000148,2024-02-21,B003,ZM,Retail,Web,1973-08-02,F,Active
C01000149,2025-05-05,B001,ZM,Retail,Branch,2003-06-20,F,Active
C01000150,2024-08-16,B020,ZM,Retail,App,1976-10-14,F,Active
C01000151,2024-12-19,B003,ZM,Retail,USSD,2004-07-24,M,Active
C01000152,2023-05-30,B003,ZM,Retail,App,1985-05-09,F,Active
C01000153,2025-02-07,B001,ZM,Retail,App,1971-10-28,M,Active
C01000154,2022-01-24,B003,ZM,Retail,ATM,1977-10-24,F,Active
C01000155,2025-10-25,B005,ZM,Retail,App,1967-12-16,M,Active
C01000156,2026-01-16,B002,ZM,Retail,App,2006-04-27,F,Active
C01000157,2022-08-23,B015,ZM,Retail,Agent,1979-03-20,F,Dormant
C01000158,2025-10-28,B002,ZM,SME,ATM,1960-04-14,F,Dormant
C01000159,2025-01-04,B001,ZM,SME,ATM,1998-12-18,M,Dormant
C01000160,2023-07-01,B004,ZM,Retail,ATM,1966-01-13,F,Active
C01000161,2025-08-05,B015,ZM,Retail,Web,2004-01-08,F,Active
C01000162,2023-11-28,B001,ZM,Retail,ATM,2010-01-13,F,Active
C01000163,2022-08-17,B020,ZM,Retail,Agent,1978-09-16,F,Active
C01000164,2023-08-25,B004,ZM,Retail,Web,1975-12-24,F,Closed
C01000165,2024-06-09,B002,ZM,Retail,USSD,1963-06-25,M,Dormant
C01000166,2022-11-20,B001,ZM,Retail,Web,1997-07-07,M,Active
C01000167,2024-07-18,B020,ZM,Retail,USSD,1983-08-08,F,Active
C01000168,2022-01-07,B015,ZM,Retail,ATM,1994-02-12,M,Dormant
C01000169,2026-01-18,B015,ZM,Retail,ATM,2012-05-20,F,Active
C01000170,2026-01-13,B010,ZM,Retail,USSD,1981-01-21,F,Active
C01000171,2023-06-24,B020,ZM,Retail,Branch,1991-04-14,F,Active
C01000172,2024-10-22,B005,ZM,Retail,Agent,2003-06-11,F,Active
C01000173,2023-01-01,B003,ZM,Retail,Web,2007-08-04,M,Active
C01000174,2024-11-05,B004,ZM,Retail,Agent,1976-02-26,F,Dormant
C01000175,2022-08-06,B020,ZM,Retail,Agent,1986-12-03,F,Active
C01000176,2025-07-04,B010,ZM,Retail,App,1980-10-20,M,Active
C01000177,2023-09-04,B003,ZM,Retail,ATM,1986-03-17,F,Active
C01000178,2025-08-01,B003,ZM,SME,Web,2003-07-08,F,Active
C01000179,2024-11-05,B001,ZM,SME,Agent,2003-12-24,M,Active
C01000180,2025-06-01,B003,ZM,Retail,Web,1995-03-09,M,Active
C01000181,2023-02-12,B005,ZM,Retail,Agent,2013-08-20,F,Active
C01000182,2022-11-10,B015,ZM,Retail,ATM,1992-01-15,F,Active
C01000183,2024-02-05,B010,ZM,SME,Agent,2008-10-01,F,Active
C01000184,2022-11-27,B003,ZM,Retail,USSD,2003-02-24,M,Active
C01000185,2025-01-09,B001,ZM,Premium,ATM,1986-07-03,F,Active
C01000186,2024-12-22,B005,ZM,Retail,Web,1968-08-29,F,Active
C01000187,2022-01-02,B002,ZM,Retail,Branch,1979-08-22,F,Active
C01000188,2025-05-11,B015,ZM,SME,Agent,1970-01-30,F,Active
C01000189,2023-10-26,B015,ZM,Retail,USSD,1985-10-09,M,Active
C01000190,2024-09-27,B010,ZM,Retail,ATM,1997-08-23,M,Active
C01000191,2022-02-09,B015,ZM,Retail,App,2000-02-12,F,Active
C01000192,2022-08-18,B003,ZM,Retail,ATM,1989-03-11,M,Closed
C01000193,2024-01-14,B001,ZM,Retail,Web,1982-03-12,F,Active
C01000194,2023-09-22,B015,ZM,Retail,Web,1998-02-11,M,Active
C01000195,2023-05-06,B015,ZM,Retail,App,1970-05-23,M,Dormant
C01000196,2022-04-29,B002,ZM,Retail,USSD,1975-10-22,M,Closed
C01000197,2023-05-09,B002,ZM,Premium,Web,2001-09-10,F,Active
C01000198,2025-03-07,B004,ZM,Retail,USSD,1988-08-10,F,Active
C01000199,2022-06-11,B005,ZM,Retail,USSD,1970-03-09,M,Active
C01000200,2022-06-25,B003,ZM,Retail,ATM,1991-03-08,F,Active
C01000201,2026-02-07,B015,ZM,Retail,USSD,1995-09-18,M,Dormant
C01000202,2024-09-22,B020,ZM,Retail,Agent,1971-06-28,F,Active
C01000203,2022-05-22,B015,ZM,Premium,Web,2003-05-26,M,Active
C01000204,2024-12-26,B001,ZM,Retail,Web,2003-11-20,M,Active
C01000205,2022-09-15,B004,ZM,Retail,Branch,2013-12-03,F,Active
C01000206,2022-09-20,B005,ZM,Retail,USSD,1996-12-17,F,Active
C01000207,2025-09-13,B020,ZM,Retail,Branch,1981-01-25,M,Closed
C01000208,2024-08-31,B004,ZM,SME,ATM,1962-08-07,F,Active
C01000209,2025-01-30,B010,ZM,Retail,Branch,1986-02-06,M,Active
C01000210,2022-12-05,B005,ZM,Retail,USSD,1984-01-14,M,Active
C01000211,2023-06-27,B015,ZM,Retail,Web,2005-07-12,F,Active
C01000212,2024-12-16,B015,ZM,Retail,ATM,1979-04-19,F,Active
C01000213,2025-05-27,B005,ZM,Retail,USSD,1996-09-10,F,Active
C01000214,2024-05-16,B015,ZM,Retail,ATM,1965-06-15,F,Active
C01000215,2023-03-10,B003,ZM,Retail,App,2010-06-11,M,Active
C01000216,2025-01-09,B005,ZM,Retail,USSD,1988-12-29,M,Active
C01000217,2026-02-03,B004,ZM,Retail,App,1983-06-21,M,Active
C01000218,2025-11-13,B005,ZM,Premium,Branch,1988-06-29,F,Active
C01000219,2023-02-16,B020,ZM,SME,USSD,1996-11-22,F,Dormant
C01000220,2025-12-31,B015,ZM,Retail,App,1995-02-10,M,Active
C01000221,2023-10-01,B003,ZM,Retail,Agent,1999-08-25,F,Active
C01000222,2024-03-28,B003,ZM,Retail,Web,1998-02-22,F,Active
C01000223,2025-10-07,B010,ZM,Retail,Branch,1995-10-07,F,Active
C01000224,2025-08-23,B004,ZM,Retail,USSD,1983-05-22,M,Active
C01000225,2024-02-04,B002,ZM,Retail,USSD,1964-11-25,M,Active
C01000226,2024-06-16,B002,ZM,SME,Web,1984-01-27,F,Active
C01000227,2024-11-25,B005,ZM,Premium,Web,2003-07-23,M,Dormant
C01000228,2024-07-13,B010,ZM,Retail,App,1979-08-23,M,Dormant
C01000229,2022-09-05,B001,ZM,Retail,App,1990-06-27,M,Active
C01000230,2023-05-23,B005,ZM,Retail,App,1964-02-04,M,Dormant
C01000231,2023-04-06,B010,ZM,Retail,ATM,1987-09-05,M,Active
C01000232,2022-05-12,B004,ZM,Retail,Branch,2000-02-28,F,Active
C01000233,2023-11-24,B004,ZM,Retail,USSD,1996-10-06,M,Active
C01000234,2022-02-13,B004,ZM,SME,Branch,1979-11-08,F,Active
C01000235,2025-04-19,B004,ZM,Retail,Web,2011-05-12,F,Active
C01000236,2025-02-08,B004,ZM,Retail,Agent,1974-12-10,M,Active
C01000237,2023-04-17,B010,ZM,Retail,Branch,2008-02-02,M,Active
C01000238,2025-04-20,B010,ZM,Retail,Branch,1978-07-01,M,Active
C01000239,2023-03-28,B003,ZM,Retail,App,1969-11-23,M,Active
C01000240,2022-01-15,B020,ZM,SME,Web,1989-07-30,F,Active
C01000241,2022-05-26,B002,ZM,Retail,Branch,1971-08-05,F,Active
C01000242,2025-12-20,B015,ZM,Retail,USSD,2014-04-10,F,Active
C01000243,2025-07-16,B004,ZM,Retail,App,2008-06-04,M,Active
C01000244,2022-05-01,B001,ZM,Retail,Branch,1961-10-14,F,Dormant
C01000245,2023-04-14,B015,ZM,SME,Web,1961-11-22,F,Active
C01000246,2022-05-19,B010,ZM,Retail,Agent,1994-01-07,M,Active
C01000247,2022-03-06,B001,ZM,SME,USSD,1968-02-05,M,Active
C01000248,2023-11-08,B001,ZM,Retail,Agent,1989-11-25,M,Active
C01000249,2022-05-26,B001,ZM,Retail,Web,1991-08-23,F,Active
C01000250,2024-11-18,B003,ZM,Retail,Web,2009-08-08,M,Active
C01000251,2023-05-03,B010,ZM,Retail,Web,1965-09-10,F,Active
C01000252,2023-07-25,B001,ZM,Retail,Agent,1964-05-31,M,Active
C01000253,2025-10-02,B004,ZM,SME,ATM,2006-07-13,F,Dormant
C01000254,2024-09-21,B005,ZM,Retail,USSD,1978-11-18,F,Dormant
C01000255,2023-03-15,B001,ZM,Retail,Web,1992-06-26,M,Active
C01000256,2025-01-09,B003,ZM,Retail,ATM,2008-01-15,F,Active
C01000257,2022-09-28,B015,ZM,Retail,App,1977-10-20,M,Active
C01000258,2026-01-21,B010,ZM,Retail,ATM,1974-01-31,M,Active
C01000259,2025-03-15,B020,ZM,Retail,App,2008-01-22,M,Dormant
C01000260,2025-03-26,B003,ZM,Retail,Agent,1995-06-26,F,Active
C01000261,2024-08-26,B001,ZM,Retail,ATM,1980-07-28,F,Closed
C01000262,2023-05-13,B010,ZM,Retail,Agent,1986-01-12,F,Dormant
C01000263,2024-08-26,B005,ZM,Retail,Web,1974-06-24,M,Dormant
C01000264,2024-04-13,B001,ZM,Retail,ATM,1993-07-17,F,Active
C01000265,2023-01-25,B003,ZM,Retail,ATM,1989-09-27,F,Active
C01000266,2022-07-13,B002,ZM,Premium,Web,1997-02-01,M,Active
C01000267,2022-07-18,B004,ZM,Retail,App,1979-05-06,M,Active
C01000268,2025-09-11,B020,ZM,Retail,Web,2009-08-10,M,Active
C01000269,2024-06-01,B015,ZM,Retail,USSD,1982-04-24,M,Dormant
C01000270,2023-12-27,B003,ZM,Retail,ATM,1961-03-22,M,Active
C01000271,2024-05-17,B010,ZM,SME,USSD,1963-03-28,M,Active
C01000272,2024-04-21,B020,ZM,Retail,Web,1961-10-18,M,Active
C01000273,2024-08-14,B020,ZM,Premium,Agent,2007-03-29,F,Active
C01000274,2026-02-02,B020,ZM,SME,Web,1969-03-13,M,Active
C01000275,2022-04-21,B001,ZM,Retail,Branch,2004-12-28,M,Dormant
C01000276,2025-10-11,B004,ZM,Retail,USSD,1995-09-13,M,Active
C01000277,2025-08-31,B001,ZM,Retail,Branch,2003-07-03,M,Active
C01000278,2025-08-16,B010,ZM,Retail,USSD,1963-10-17,M,Active
C01000279,2022-07-21,B001,ZM,Retail,Agent,1974-01-29,F,Active
C01000280,2022-05-05,B002,ZM,Retail,Branch,1985-05-25,M,Active
C01000281,2024-04-04,B004,ZM,Retail,Branch,1987-01-17,F,Active
C01000282,2026-01-31,B004,ZM,Retail,USSD,1962-03-05,F,Active
C01000283,2023-11-26,B010,ZM,Retail,Web,1980-08-19,M,Active
C01000284,2022-08-12,B015,ZM,SME,App,1982-03-09,M,Active
C01000285,2023-05-25,B002,ZM,Retail,Web,1963-01-11,M,Active
C01000286,2023-01-28,B003,ZM,SME,App,1984-06-10,F,Dormant
C01000287,2023-01-25,B001,ZM,Retail,USSD,1971-02-03,M,Active
C01000288,2025-01-03,B005,ZM,Retail,ATM,1993-11-24,F,Active
C01000289,2024-07-07,B001,ZM,Retail,Web,1995-12-14,F,Active
C01000290,2022-10-15,B020,ZM,Retail,Branch,1971-10-08,M,Active
C01000291,2024-05-14,B001,ZM,Retail,Web,1984-03-22,M,Active
C01000292,2023-01-11,B003,ZM,Retail,USSD,1967-08-14,F,Active
C01000293,2023-07-25,B001,ZM,SME,ATM,1966-11-12,F,Active
C01000294,2024-08-05,B002,ZM,Retail,ATM,1966-08-18,M,Active
C01000295,2023-05-27,B002,ZM,Retail,Web,2005-04-05,M,Active
C01000296,2022-06-04,B004,ZM,SME,Web,1997-04-07,F,Dormant
C01000297,2024-06-26,B010,ZM,Retail,Agent,1961-10-22,F,Active
C01000298,2025-02-01,B015,ZM,Retail,Web,1961-04-28,M,Active
C01000299,2022-07-20,B005,ZM,Retail,USSD,2008-08-06,F,Active
C01000300,2022-04-14,B020,ZM,SME,App,2014-04-07,M,Active
C01000301,2025-08-28,B001,ZM,Retail,Agent,1973-08-15,M,Active
C01000302,2025-01-12,B001,ZM,Retail,App,1968-07-28,M,Dormant
C01000303,2022-01-31,B003,ZM,Retail,Branch,2012-10-07,F,Active
C01000304,2022-07-11,B010,ZM,SME,USSD,1995-02-02,F,Active
C01000305,2023-04-30,B002,ZM,Retail,Agent,1977-06-06,F,Active
C01000306,2022-12-07,B005,ZM,Premium,ATM,2014-05-04,M,Dormant
C01000307,2024-04-12,B004,ZM,Retail,Agent,1988-01-03,M,Active
C01000308,2024-09-21,B002,ZM,SME,Branch,1989-01-15,M,Dormant
C01000309,2024-09-12,B020,ZM,Retail,ATM,1998-02-21,F,Active
C01000310,2023-03-14,B010,ZM,Retail,Agent,2005-12-18,M,Active
C01000311,2024-04-01,B020,ZM,SME,ATM,1962-02-06,M,Active
C01000312,2022-05-01,B015,ZM,Retail,Web,1987-02-08,M,Active
C01000313,2022-12-04,B004,ZM,Retail,ATM,1984-08-02,F,Active
C01000314,2024-02-16,B015,ZM,Retail,Agent,2001-03-03,F,Active
C01000315,2022-01-05,B003,ZM,Retail,ATM,1978-03-07,F,Active
C01000316,2024-03-10,B020,ZM,Retail,USSD,1968-12-10,F,Active
C01000317,2023-06-28,B003,ZM,Retail,Web,1983-09-16,F,Dormant
C01000318,2024-07-20,B001,ZM,Retail,Web,2011-09-10,F,Active
C01000319,2023-08-08,B015,ZM,Retail,Branch,2002-04-16,F,Active
C01000320,2024-05-16,B010,ZM,Retail,Web,1993-10-13,M,Active
C01000321,2025-11-27,B020,ZM,Retail,App,1986-02-16,M,Active
C01000322,2026-02-05,B005,ZM,Retail,USSD,1998-07-14,M,Dormant
C01000323,2025-02-12,B004,ZM,Retail,Branch,1968-05-07,M,Active
C01000324,2025-09-17,B002,ZM,Retail,App,1979-12-09,F,Active
C01000325,2026-01-11,B010,ZM,Premium,ATM,1996-06-14,F,Active
C01000326,2024-09-23,B010,ZM,Retail,App,2010-04-30,M,Active
C01000327,2022-11-14,B003,ZM,SME,Branch,1984-12-27,M,Active
C01000328,2023-01-24,B015,ZM,SME,Web,2003-05-13,F,Active
C01000329,2023-08-31,B020,ZM,SME,USSD,1985-07-07,F,Active
C01000330,2023-03-22,B020,ZM,Retail,Branch,2007-11-02,F,Dormant
C01000331,2022-04-30,B001,ZM,SME,App,2005-06-13,M,Active
C01000332,2025-04-01,B001,ZM,SME,App,1981-12-11,F,Closed
C01000333,2025-01-15,B004,ZM,Retail,Branch,1994-04-22,M,Active
C01000334,2022-05-05,B003,ZM,Retail,Agent,1961-07-18,F,Active
C01000335,2023-10-05,B010,ZM,Retail,Agent,2004-08-03,F,Active
C01000336,2022-04-28,B020,ZM,Retail,Branch,1995-04-25,M,Active
C01000337,2022-04-13,B005,ZM,Retail,Agent,1993-06-09,F,Active
C01000338,2025-04-11,B003,ZM,Retail,Branch,2009-01-13,M,Active
C01000339,2024-09-03,B004,ZM,Retail,Web,1969-09-18,F,Active
C01000340,2024-10-26,B004,ZM,Retail,Branch,2000-07-28,F,Active
C01000341,2024-12-23,B003,ZM,Retail,ATM,1980-02-07,M,Active
C01000342,2022-11-19,B004,ZM,Retail,USSD,2011-11-04,F,Dormant
C01000343,2022-04-27,B003,ZM,SME,USSD,1962-03-26,F,Dormant
C01000344,2024-11-06,B002,ZM,Retail,ATM,1995-08-25,F,Active
C01000345,2022-06-14,B003,ZM,Retail,App,1980-10-27,F,Active
C01000346,2023-01-16,B015,ZM,Retail,App,2000-02-10,F,Active
C01000347,2022-05-21,B003,ZM,Retail,App,1993-03-06,F,Active
C01000348,2025-05-03,B004,ZM,Retail,App,2002-10-10,F,Active
C01000349,2022-05-20,B020,ZM,Premium,Web,2010-07-10,F,Active
C01000350,2025-10-14,B015,ZM,Retail,ATM,1969-10-10,F,Active
C01000351,2023-04-27,B004,ZM,Premium,USSD,1987-11-13,M,Dormant
C01000352,2024-04-06,B001,ZM,Retail,ATM,1989-10-28,F,Closed
C01000353,2022-09-03,B001,ZM,Retail,USSD,1972-11-24,F,Dormant
C01000354,2025-03-12,B020,ZM,Retail,App,1967-07-03,F,Closed
C01000355,2023-05-20,B020,ZM,SME,Web,1968-07-22,M,Active
C01000356,2025-03-31,B015,ZM,Retail,Branch,2010-04-27,M,Active
C01000357,2025-05-02,B002,ZM,Retail,Branch,1975-03-09,M,Active
C01000358,2022-03-23,B020,ZM,SME,Agent,1978-08-19,M,Active
C01000359,2025-06-22,B001,ZM,Retail,App,2003-12-11,M,Active
C01000360,2022-06-17,B003,ZM,Retail,App,2013-03-27,M,Active
